Year,Total,Coal,Oil,Gas,Cement,Flaring,Per Capita
1959,2453,1382,789,206,39,36,0.82
1960,2568,1410,849,227,42,39,0.85
1961,2580,1349,904,240,45,42,0.83
1962,2685,1351,980,263,48,44,0.85
1963,2833,1396,1052,286,51,47,0.88
1964,2994,1435,1137,316,56,51,0.91
1965,3129,1460,1219,337,58,55,0.94
1966,3288,1478,1323,364,63,60,0.96
1967,3393,1448,1423,392,65,66,0.98
1968,3565,1448,1551,424,69,73,1.00
1969,3779,1486,1673,467,73,80,1.04
1970,4052,1556,1839,493,77,87,1.09
1971,4206,1559,1947,530,82,88,1.11
1972,4373,1576,2057,560,86,95,1.14
1973,4611,1581,2241,588,92,110,1.17
1974,4619,1579,2245,597,92,107,1.15
1975,4592,1673,2132,604,91,92,1.13
1976,4858,1710,2314,630,97,108,1.17
1977,5010,1756,2398,650,102,104,1.18
1978,5066,1780,2392,680,108,106,1.18
1979,5348,1875,2544,721,110,98,1.22
1980,5292,1935,2422,737,111,86,1.19
1981,5127,1908,2289,755,110,65,1.13
1982,5083,1976,2196,738,110,64,1.10
1983,5063,1977,2176,739,113,58,1.08
1984,5245,2074,2199,807,115,51,1.10
1985,5402,2216,2186,835,116,49,1.11
1986,5567,2277,2293,830,121,46,1.12
1987,5708,2339,2306,892,126,44,1.13
1988,5917,2387,2412,935,133,50,1.15
1989,6046,2428,2459,982,136,41,1.15
1990,6054,2359,2492,1026,137,40,1.14
1991,6122,2284,2601,1051,141,45,1.13
1992,6058,2290,2499,1085,147,36,1.10
1993,6046,2225,2515,1117,152,37,1.08
1994,6150,2278,2539,1133,162,39,1.08
1995,6279,2359,2560,1151,171,39,1.09
1996,6420,2382,2626,1198,175,40,1.10
1997,6527,2409,2701,1197,180,40,1.10
1998,6546,2343,2763,1224,179,36,1.09
1999,6531,2310,2741,1258,187,35,1.08
2000,6703,2327,2845,1289,196,46,1.09
2001,6861,2445,2848,1316,205,47,1.10
2002,6958,2518,2832,1342,216,49,1.10
2003,7333,2695,2958,1397,233,48,1.15
2004,7693,2906,3043,1443,248,54,1.19
2005,7984,3108,3068,1485,262,60,1.22
2006,8266,3293,3091,1534,286,62,1.25
2007,8428,3422,3071,1562,307,66,1.26
2008,8700,3587,3103,1630,312,69,1.28
2009,8603,3590,3042,1584,321,66,1.25
2010,9025,3812,3107,1696,343,67,1.30
2011,9377,4055,3134,1756,368,64,1.33
2012,9530,4106,3200,1783,376,65,1.34
2013,9609,4126,3220,1806,390,68,1.33
2014,9690,4117,3280,1823,403,68,1.33
2015,9679,4013,3341,1863,393,68,1.31
2016,9737,3951,3401,1917,400,68,1.30
2017,9867,3978,3450,1969,403,68,1.31